listing_name,listing_url,listing_price,listing_shipping_price,listing_authenticity,listing_Seller,listing_Seller_rating,listing_color,listing_brand,listing_size,,mid,new,running,shoes,,,,retro,mens
2021 air jordan 6 carmine gs size 6y 384665-106 ds new,https://www.ebay.com/itm/185030176102?hash=item2b14a86d66:g:VNEAAOSwBdhgWOSB,160.00,10.00,Authenticity Guarantee,thriftedthreadz813,100.00%,Red,Air Jordan,6,,,,,,,,,,
2021 ds new balance 550 aime leon dore white navy red 8 bb550a3 green grey 9 8,https://www.ebay.com/itm/274982898255?hash=item4006420a4f:g:Wr4AAOSwjHBhZOzc,240.00,0.00,Authenticity Guarantee,da_doc_2009,100.00%,Blue,New Balance,9,,,,,,,,,,
2021 levis x new balance 990v3 elephant skin sz 7 grey m990lv3 white,https://www.ebay.com/itm/124895189463?hash=item1d145559d7:g:3tYAAOSwnKFhTt3p,300.00,0.00,Authenticity Guarantee,mjfanatic42,100.00%,White,New Balance,7,,,,,,,,,,
2021 new balance 550 white green walking sneakers mens size 11 (bb550wt1) new,https://www.ebay.com/itm/115051417168?hash=item1ac9994e50:g:oEwAAOSwXE9hbMVw,199.99,0.00,Authenticity Guarantee,bubbees,99.10%,White,New Balance,11,,,,,,,,,,
2021 nike dunk high “midnight navy”blue/white db2179-104 size 6y/8w *in hand*,https://www.ebay.com/itm/174979258087?hash=item28bd9396e7:g:SUAAAOSwI7dhafHM,140.00,0.00,Authenticity Guarantee,overtops,100.00%,Blue,Nike,6,,,,,,,,,,
57/40 sea salt blue new balance size 10 never worn.,https://www.ebay.com/itm/115057148416?hash=item1ac9f0c200:g:0pEAAOSwk4BhcX99,175.00,15.95,Authenticity Guarantee,dodgerfan1990,100.00%,Blue,New Balance,10,,,,,,,,,,
706653-300 wosize nike air force 1 hi lib qs shoes in blue size 9 retail $160,https://www.ebay.com/itm/293845625244?hash=item446a90699c:g:SxAAAOSwwz1fuHib,109.95,0.00,Authenticity Guarantee,deglo44,99.80%,Blue,Nike,9,,,,,,,,,,
adidas “venom” donovan mitchell d.o.n. issue2 marvel shoes mens size 10 with box,https://www.ebay.com/itm/144099024999?hash=item218cf8a067:g:8FMAAOSwW61hM-hj,100.00,0.00,Authenticity Guarantee,cj.bsu14,99.60%,Black,adidas,10,,,,,,,,,,
adidas 3st.004 boost suede skateboarding shoe red black fy0500 men size 10 nib,https://www.ebay.com/itm/403099129718?hash=item5dda949776:g:bncAAOSw6JdhJFQq,119.98,0.00,No Guarantee,rockdakicks,100.00%,Red,adidas,10,,,,,,,,,,
adidas 3st.004 boost suede skateboarding shoe red black fy0500 mens size 11 nib,https://www.ebay.com/itm/403099138112?hash=item5dda94b840:g:bncAAOSw6JdhJFQq,119.98,0.00,No Guarantee,rockdakicks,100.00%,Black,adidas,11,,,,,,,,,,
