listing_name,listing_url,listing_price,listing_shipping_price,listing_authenticity,listing_Seller,listing_Seller_url,listing_Seller_rating,listing_color,listing_brand,listing_model,listing_size
new balance mens fresh foam 1080 v10 running shoe summer fog/neo crimson 16 ...,https://www.ebay.com/itm/284394110735?hash=item423735bf0f:g:EYkAAOSw7DhhB-UK,$132.84,0,Authenticity Guarantee,nogitta,https://www.ebay.com/usr/nogitta?_trksid=p2047675.l2559,97.8% Positive feedback,Red,New Balance,800,Size 16
new balance mens fresh foam 1080 v10 running shoe summer fog/neo crimson 7...,https://www.ebay.com/itm/234242682920?hash=item3689f3b028:g:3TgAAOSwl~1hbWMe,$138.67,0,Authenticity Guarantee,yasuhi_44,https://www.ebay.com/usr/yasuhi_44?_trksid=p2047675.l2559,96.6% Positive feedback,Red,New Balance,800,
new balance mens fresh foam 1080 v10 running shoe summer fog/neo crimson 9,https://www.ebay.com/itm/373760880723?hash=item5705e27053:g:jG8AAOSwzUFhbcY0,$141.03,0,Authenticity Guarantee,masaka_44,https://www.ebay.com/usr/masaka_44?_trksid=p2047675.l2559,97.5% Positive feedback,Red,New Balance,800,
new balance mens fresh foam 1080 v11 running shoe velocity red/team red 16,https://www.ebay.com/itm/284237951301?hash=item422de6f145:g:tUcAAOSwkKhgYhn0,$206.6,0,Authenticity Guarantee,nogitta,https://www.ebay.com/usr/nogitta?_trksid=p2047675.l2559,97.8% Positive feedback,Red,New Balance,800,
new balance mens fresh foam 1080v10 running shoes blue m1080b10 low top 11 2e,https://www.ebay.com/itm/384422722824?hash=item5981613d08:g:9AgAAOSwQoxhBCNo,$149.97,0,Authenticity Guarantee,aquinoesu,https://www.ebay.com/usr/barty87?_trksid=p2047675.l2559,100% Positive feedback,Blue,New Balance,800,
new balance mens fresh foam 515 sport v2 sneakers shoes size 9,https://www.ebay.com/itm/324303732496?hash=item4b82023f10:g:oCEAAOSw9nVfaQuH,$69.95,0,"",desertshoes,https://www.ebay.com/usr/g0frost?_trksid=p2047675.l2559,99.8% Positive feedback,Blue,New Balance,,Size 9
new balance mens fresh foam 850 all terrain shoes red/black,https://www.ebay.com/itm/144251676953?hash=item219611e919:g:9w8AAOSwCudf6~am,$95,12,"",b1ly,https://www.ebay.com/usr/b1ly?_trksid=p2047675.l2559,100% Positive feedback,Red,New Balance,500,
"new balance mens fresh foam 860 v10 running shoe, black/phantom, 14 2e(w) us",https://www.ebay.com/p/22045982315?iid=353424916603,$82.99,0,"",optimalrun,https://www.ebay.com/usr/optimalrun?_trksid=p2047675.l2559,99.9% Positive feedback,Black,New Balance,600,Size 14
"new balance mens fresh foam altoh v1 running shoe, black/white, 13 xw us",https://www.ebay.com/itm/255149174488?hash=item3b68136ed8:g:PI0AAOSwo91hTgF5,$67.49,0,Authenticity Guarantee,jree9907,https://www.ebay.com/usr/jree9907?_trksid=p2047675.l2559,97.5% Positive feedback,White,New Balance,,Size 13
new balance mens fresh foam arishi trail 4e wide width running shoes,https://www.ebay.com/itm/194023855320?_trkparms=ispr%3D1&hash=item2d2cb914d8:g:MxUAAOSwCMVgbuUs&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsSMJP5lymjvym%252B0KHUMc1dIQSxkBUn%252FRm33kGuAt37i%252FW%252FxiRi9lXqLZJ92l6VflXcU2DWPofbIsv5accsc27e1Dpc5%252FKSwyYtH1yfqRs2Vice6QfuCClgYuvV3ZMRZ%252Bg5adK56rTsQ8MaMwpFyAum9NDeRsAfpKNq5N2gaFOsJ219TqSQvwWitiQYL4CoQAEs9iY5iTiV52jxc5%252B61943iju59cGLt9Lyq9oNV%252B8tKCUa6Ozx0LNdJt7miu5L2ZxyxVnS46Mtyqy5Y9wYudoIazRxqRw33QPv9BAKUHhflLox%252F3PQWyMuOjKbWL36%252F0rvu53oHk0orfanVhsnnFs7V0sCxouMmoiBbnr6YbCxYnEJ3DmH8DvS9jtBl87ANoHVWQCoStl%252B2iXe5JkE3f8VoYuI9JiOn9CvcEguK0irgEQ4ubuZEqTq7TYQGyxtV2DDly%252FkhdqlbB7xNUmw5%252Box0GBVXCqnxgqdCjglBMlTYiKJdu9CBpvsdG7cbeJpSzeW9HKkU6zeMxhHGze9UhRHKZhl0Lzmuo5j1tHU0pug6LoQNHv8FYtlddb2ASf4EGLDyGOWzZzwFE%252BJfQF93FPeiuv%252F1mlYAJXuOCJ1%252F%252BUf6gs8FvTrwp9RB0B3zxhcBJ%252FM2K%252FtWkPNRRQCos6mD2a2maV0HfkWOM9ByZLjFwEieeL%252FtR19ew7NIKradpvUifEwL38jNGkBdyG1qqK2hANoCcy1Ub9As2Lh459foQrsRQzCfU5%252FHxjZGE0GMS3mkGIrpWfBKw7bG8mx71HEBnnot5RtFvMdxpbhE9ByRVYt%252B%252B3tYTu0xyybNKt%252BtZDgXTUa%7Campid%3APL_CLK%7Cclp%3A2499334&var=494241809510,$64.95,0,"",shoecityoutlet,https://www.ebay.com/usr/shoecityoutlet?_trksid=p2047675.l2559,99.3% Positive feedback,Black,New Balance,,
